job_type,cpu_required,memory_required_gb,estimated_runtime_minutes,priority,current_node_load,available_cpu_cores,available_memory_gb,recommended_node
Data Processing,9,43,53,High,83,42,166,Node-093
ETL,32,109,746,Medium,55,30,87,Node-094
ETL,31,91,752,High,36,21,104,Node-095
Data Processing,19,61,450,High,60,34,143,Node-096
ML Training,25,84,684,Low,36,26,114,Node-097
ML Training,1,8,308,Medium,92,29,106,Node-098
Simulation,3,27,237,Low,51,28,139,Node-099
Analytics,8,29,282,High,93,14,49,Node-100
Simulation,30,109,924,High,55,53,213,Node-001
Simulation,20,58,660,Critical,41,64,256,Node-002
Analytics,1,21,146,Critical,13,54,236,Node-003
Analytics,6,22,126,High,10,56,253,Node-004
Analytics,9,24,226,High,43,41,159,Node-005
Data Processing,29,104,749,Critical,39,48,210,Node-006
Simulation,21,65,784,Medium,45,53,253,Node-007
Data Processing,28,101,688,High,70,59,256,Node-008
Analytics,12,24,308,High,47,57,254,Node-009
Analytics,4,18,507,Medium,54,42,208,Node-010
Analytics,28,103,564,High,55,33,175,Node-011
Analytics,32,116,756,Medium,40,53,256,Node-012
Data Processing,17,53,525,Medium,34,30,139,Node-013
ML Training,17,53,254,Medium,70,60,254,Node-014
Data Processing,31,99,809,High,61,43,169,Node-015
Simulation,3,26,148,Critical,24,12,70,Node-016
Data Processing,17,59,453,High,57,49,212,Node-017
Data Processing,21,75,506,High,6,8,16,Node-018
ML Training,26,86,700,Low,75,33,134,Node-019
ETL,2,12,136,Medium,52,24,93,Node-020
ETL,18,42,541,High,92,46,214,Node-021
Analytics,27,95,632,High,47,16,63,Node-022
ML Training,17,64,496,Medium,36,11,73,Node-023
ETL,23,76,531,Medium,65,31,129,Node-024
ML Training,3,19,84,Medium,63,59,256,Node-025
ETL,19,67,593,Medium,26,64,252,Node-026
Data Processing,2,14,163,High,88,50,233,Node-027
ML Training,30,92,775,Critical,32,11,88,Node-028
Simulation,26,71,606,Medium,68,49,201,Node-029
ML Training,22,76,638,Low,93,61,256,Node-030
Simulation,29,114,698,High,60,52,221,Node-031
ML Training,8,24,331,Medium,77,64,251,Node-032
ML Training,9,40,306,High,63,28,137,Node-033
Data Processing,16,61,445,Low,35,11,70,Node-034
ML Training,29,92,662,Medium,6,38,187,Node-035
ML Training,18,57,381,Medium,46,55,256,Node-036
ETL,16,56,427,Low,57,45,201,Node-037
Analytics,4,22,211,High,55,14,56,Node-038
Simulation,21,73,396,Low,63,14,62,Node-039
Analytics,26,88,496,Low,24,18,62,Node-040
Analytics,26,80,474,Medium,81,52,210,Node-041
Analytics,31,101,944,Medium,52,63,233,Node-042
Data Processing,31,99,721,Medium,41,42,215,Node-043
ML Training,13,45,409,Medium,33,42,192,Node-044
ETL,29,102,721,High,42,28,155,Node-045
ML Training,29,72,915,High,33,50,226,Node-046
Simulation,27,104,919,Critical,80,54,237,Node-047
Simulation,17,57,447,Low,25,9,51,Node-048
ML Training,19,58,319,High,82,31,146,Node-049
Simulation,23,76,551,High,31,50,212,Node-050
Simulation,31,102,652,High,90,62,256,Node-051
Simulation,29,105,638,High,87,60,256,Node-052
Simulation,28,95,765,Critical,27,44,193,Node-053
Analytics,18,77,551,Medium,44,56,249,Node-054
ML Training,15,52,432,High,92,20,121,Node-055
Analytics,10,17,337,Medium,28,22,115,Node-056
ETL,2,5,55,Medium,47,24,143,Node-057
Analytics,4,29,202,Medium,10,42,147,Node-058
ML Training,4,14,229,High,38,34,162,Node-059
Simulation,16,52,545,Medium,11,62,256,Node-060
Analytics,9,35,330,Medium,79,34,148,Node-061
Analytics,2,4,177,Low,69,37,164,Node-062
Data Processing,28,87,653,Medium,13,30,152,Node-063
ETL,22,74,565,Low,77,10,39,Node-064
ETL,29,95,828,High,84,62,256,Node-065
ML Training,17,65,247,Medium,28,46,196,Node-066
Data Processing,31,94,745,High,58,46,189,Node-067
ML Training,30,93,803,Medium,82,58,253,Node-068
Analytics,9,28,475,Low,6,37,177,Node-069
Analytics,7,18,260,Medium,80,54,208,Node-070
Simulation,10,36,438,High,70,38,199,Node-071
Data Processing,1,2,161,Medium,84,24,100,Node-072
Analytics,24,84,573,Medium,9,8,34,Node-073
Simulation,19,73,288,Medium,84,58,245,Node-074
Simulation,26,77,785,Critical,51,42,178,Node-075
Analytics,2,21,82,Medium,25,15,80,Node-076
ETL,11,40,333,Medium,6,44,214,Node-077
Analytics,19,71,567,High,79,49,242,Node-078
Data Processing,24,83,606,Medium,55,60,256,Node-079
Data Processing,30,92,606,High,48,54,222,Node-080
ML Training,11,48,320,Medium,6,49,215,Node-081
Data Processing,5,20,295,High,68,50,238,Node-082
ML Training,32,97,717,Medium,26,41,166,Node-083
Data Processing,27,68,744,High,64,29,130,Node-084
Data Processing,31,116,794,Medium,80,21,80,Node-085
ETL,10,32,232,Low,69,21,119,Node-086
Analytics,18,67,398,Medium,15,63,256,Node-087
ETL,29,103,749,High,78,37,145,Node-088
Analytics,19,66,572,High,8,29,124,Node-089
Simulation,27,85,626,Medium,30,16,65,Node-090
ML Training,2,8,365,Medium,12,15,68,Node-091
ML Training,7,13,377,Medium,86,11,54,Node-092
ML Training,18,67,643,Medium,82,41,164,Node-093
Data Processing,29,88,653,High,90,26,142,Node-094
Analytics,29,86,592,Medium,24,31,138,Node-095
Data Processing,15,37,479,Medium,68,42,169,Node-096
Data Processing,12,45,489,Medium,87,27,103,Node-097
ML Training,22,62,465,Medium,80,18,102,Node-098
ML Training,25,89,556,Critical,55,26,120,Node-099
Simulation,6,30,278,Critical,66,47,174,Node-100
ML Training,12,37,264,Medium,48,55,230,Node-001
ML Training,21,68,391,Low,11,35,158,Node-002
Analytics,6,37,242,Medium,94,58,256,Node-003
Analytics,27,91,568,Medium,24,26,115,Node-004
Analytics,12,40,361,Medium,89,18,97,Node-005
Data Processing,30,99,846,Low,9,49,215,Node-006
ML Training,15,52,288,Low,36,23,84,Node-007
Data Processing,12,40,390,Medium,61,16,93,Node-008
Analytics,12,38,398,Medium,6,33,147,Node-009
Simulation,14,43,358,High,63,51,177,Node-010
Data Processing,25,83,678,Low,10,28,133,Node-011
ML Training,13,29,246,Critical,72,8,72,Node-012
ML Training,20,63,487,High,10,45,194,Node-013
Data Processing,26,72,580,Low,89,41,126,Node-014
Analytics,2,3,10,Medium,5,57,219,Node-015
ETL,8,19,110,Low,38,48,198,Node-016
ETL,22,89,485,High,68,44,214,Node-017
Analytics,21,78,575,High,11,39,137,Node-018
Analytics,22,76,693,Medium,11,19,112,Node-019
ML Training,19,61,705,Low,5,57,246,Node-020
Data Processing,24,78,732,Low,26,16,114,Node-021
Data Processing,13,45,491,Medium,11,47,215,Node-022
Data Processing,31,101,667,Low,62,29,147,Node-023
Simulation,5,26,182,Medium,52,35,127,Node-024
Data Processing,29,86,559,Medium,14,16,97,Node-025
Simulation,24,78,556,Medium,18,55,193,Node-026
Analytics,26,90,605,High,18,25,91,Node-027
Data Processing,20,84,608,High,90,21,86,Node-028
Analytics,10,44,266,Medium,83,38,162,Node-029
ML Training,27,101,675,Medium,65,45,199,Node-030
Data Processing,9,27,367,Medium,23,38,143,Node-031
Analytics,22,62,641,Medium,41,61,251,Node-032
Simulation,5,29,342,Critical,86,54,248,Node-033
Data Processing,10,51,346,Medium,54,61,201,Node-034
Data Processing,1,2,76,High,42,50,216,Node-035
ETL,11,46,173,Medium,5,52,226,Node-036
ETL,32,101,726,Medium,76,38,177,Node-037
Data Processing,17,71,329,High,53,33,181,Node-038
Simulation,26,71,599,High,18,59,256,Node-039
Data Processing,6,27,319,Low,11,60,256,Node-040
ETL,2,10,330,Medium,67,34,146,Node-041
ML Training,3,26,282,Medium,5,41,212,Node-042
ML Training,29,93,719,Medium,48,37,199,Node-043
Analytics,32,78,899,Critical,51,53,224,Node-044
Analytics,28,79,629,High,26,57,228,Node-045
ML Training,31,92,806,High,76,15,58,Node-046
ML Training,25,81,634,Medium,61,27,92,Node-047
Analytics,32,98,859,Low,26,45,197,Node-048
ML Training,28,92,607,High,12,8,43,Node-049
Data Processing,28,96,804,Medium,16,32,159,Node-050
Data Processing,13,40,390,High,11,56,251,Node-051
Analytics,13,45,294,Medium,44,48,214,Node-052
Data Processing,18,69,514,Medium,54,25,122,Node-053
ML Training,18,58,339,High,81,50,235,Node-054
Data Processing,28,104,626,Critical,91,62,242,Node-055
ML Training,17,65,433,High,76,60,256,Node-056
ML Training,6,45,252,Critical,41,64,256,Node-057
Simulation,11,28,334,Critical,35,44,202,Node-058
ML Training,21,95,477,Critical,35,17,71,Node-059
Data Processing,23,61,545,Critical,22,15,78,Node-060
ETL,3,16,176,High,44,59,227,Node-061
ETL,12,52,160,Medium,17,52,220,Node-062
ML Training,2,20,71,High,79,25,83,Node-063
Data Processing,29,105,755,Critical,41,14,56,Node-064
Analytics,22,73,370,Low,60,21,76,Node-065
Simulation,8,37,227,Medium,42,30,122,Node-066
Analytics,28,100,547,High,32,37,177,Node-067
ML Training,4,6,401,Critical,88,52,233,Node-068
ML Training,3,17,182,Medium,87,36,149,Node-069
Data Processing,3,19,207,Critical,59,23,100,Node-070
Simulation,31,114,627,Low,94,44,209,Node-071
Data Processing,13,46,290,Medium,63,45,202,Node-072
Data Processing,1,11,164,Medium,18,29,118,Node-073
Analytics,16,34,405,Medium,11,36,147,Node-074
Simulation,23,86,620,Medium,88,27,113,Node-075
Data Processing,21,71,390,Critical,21,8,43,Node-076
ML Training,8,34,452,Medium,31,53,213,Node-077
ETL,4,19,290,High,56,36,184,Node-078
Simulation,10,33,433,Low,7,51,231,Node-079
Simulation,25,82,725,Low,69,11,83,Node-080
ETL,17,50,347,High,15,23,105,Node-081
Analytics,1,2,129,High,63,19,68,Node-082
ML Training,30,105,585,Medium,28,53,248,Node-083
Data Processing,2,2,91,High,5,50,185,Node-084
ETL,6,27,138,Critical,33,36,155,Node-085
Data Processing,16,66,456,High,23,24,102,Node-086
Analytics,7,25,244,Medium,91,37,119,Node-087
ETL,21,67,615,Medium,17,27,131,Node-088
ETL,17,54,671,Medium,71,11,65,Node-089
ML Training,17,61,447,Medium,37,9,69,Node-090
Data Processing,12,33,370,High,41,25,113,Node-091
Simulation,25,83,507,High,86,19,77,Node-092
ML Training,2,28,286,Low,53,31,173,Node-093
Simulation,28,102,596,Medium,62,39,143,Node-094
Analytics,23,77,727,Low,81,22,78,Node-095
ML Training,16,41,386,Medium,65,54,228,Node-096
ETL,16,53,545,Low,18,15,68,Node-097
Analytics,23,61,643,Medium,77,18,113,Node-098
Data Processing,9,24,353,Critical,83,8,44,Node-099
ETL,16,59,382,High,49,19,109,Node-100
Simulation,15,54,448,Medium,24,11,30,Node-001
Analytics,20,61,699,High,82,61,256,Node-002
ETL,14,33,380,Medium,16,18,126,Node-003
ML Training,17,53,441,Medium,16,47,228,Node-004
ML Training,16,54,579,Medium,66,60,235,Node-005
ML Training,27,88,538,Medium,44,16,87,Node-006
Analytics,15,58,504,High,32,45,218,Node-007
Analytics,13,40,442,Medium,92,20,97,Node-008
Analytics,18,59,635,High,13,43,177,Node-009
Data Processing,30,101,689,Medium,28,40,124,Node-010
ETL,24,70,440,High,38,47,239,Node-011
ML Training,29,95,666,Low,31,46,166,Node-012
ETL,2,23,155,Medium,89,55,236,Node-013
Analytics,29,104,558,Low,41,14,67,Node-014
Analytics,29,93,674,Medium,7,29,118,Node-015
Data Processing,18,61,426,Medium,53,59,240,Node-016
ETL,17,66,485,Low,10,11,65,Node-017
Data Processing,32,88,671,High,64,44,186,Node-018
Analytics,30,101,712,High,33,31,156,Node-019
Analytics,6,8,169,Medium,47,17,49,Node-020
Analytics,16,71,339,Low,18,55,256,Node-021
Simulation,19,59,521,Low,67,18,96,Node-022
Data Processing,19,40,550,Medium,74,54,240,Node-023
Data Processing,8,22,160,High,87,35,157,Node-024
ML Training,14,61,278,Medium,75,9,80,Node-025
ML Training,1,9,298,High,89,44,176,Node-026
Data Processing,2,19,332,Medium,77,32,149,Node-027
Analytics,29,97,714,High,49,18,93,Node-028
Analytics,8,36,525,Critical,33,47,212,Node-029
Simulation,23,86,626,High,53,30,145,Node-030
ML Training,24,94,659,Low,52,46,177,Node-031
Analytics,5,40,413,High,58,57,250,Node-032
Analytics,32,101,859,Medium,61,55,247,Node-033
Analytics,2,10,136,Critical,47,48,196,Node-034
Data Processing,21,71,647,Low,26,15,89,Node-035
ML Training,4,34,307,Medium,86,17,66,Node-036
ML Training,24,69,428,Medium,29,52,180,Node-037
ML Training,23,63,580,Low,86,44,161,Node-038
Analytics,26,76,628,Low,51,21,97,Node-039
ML Training,14,42,334,High,85,55,223,Node-040
ETL,7,31,117,Medium,5,34,146,Node-041
ETL,2,15,76,Medium,16,21,72,Node-042
Analytics,28,74,630,Medium,12,50,202,Node-043
Simulation,18,56,466,Critical,23,53,244,Node-044
Analytics,18,72,374,Medium,79,62,256,Node-045
Data Processing,17,71,365,High,89,11,74,Node-046
Simulation,8,45,309,High,37,21,118,Node-047
ML Training,5,20,209,Medium,40,62,256,Node-048
Simulation,23,86,704,Medium,69,28,130,Node-049
ML Training,10,37,245,Medium,60,50,242,Node-050
Simulation,7,22,276,High,18,59,231,Node-051
Data Processing,26,74,665,High,74,22,114,Node-052
Data Processing,10,22,197,High,47,48,206,Node-053
Data Processing,11,49,106,High,21,60,256,Node-054
ETL,8,31,365,High,8,57,256,Node-055
Simulation,6,13,178,Medium,76,52,237,Node-056
Analytics,5,34,362,Medium,78,27,125,Node-057
Simulation,30,110,786,Critical,93,15,72,Node-058
Analytics,25,91,528,Medium,8,34,131,Node-059
ML Training,21,53,547,Medium,16,63,256,Node-060
ML Training,6,46,95,Low,39,11,73,Node-061
Simulation,32,105,811,Medium,63,34,165,Node-062
Analytics,7,41,10,Critical,14,47,224,Node-063
ML Training,31,90,784,High,65,22,100,Node-064
Analytics,16,70,367,Medium,55,18,77,Node-065
ETL,2,4,188,Medium,5,14,77,Node-066
ETL,2,10,147,Low,83,22,115,Node-067
Data Processing,19,72,459,Critical,31,48,219,Node-068
ETL,12,53,258,High,48,19,90,Node-069
ETL,13,48,406,Low,79,53,221,Node-070
Data Processing,19,58,639,Low,17,11,49,Node-071
ETL,28,96,561,High,62,39,147,Node-072
ML Training,14,42,367,Medium,66,26,131,Node-073
ML Training,32,99,788,High,65,11,17,Node-074
Data Processing,10,60,286,Low,16,60,256,Node-075
ETL,1,2,10,Medium,86,14,70,Node-076
ML Training,18,72,617,High,54,39,151,Node-077
Data Processing,21,61,412,High,51,27,125,Node-078
ML Training,20,57,608,Medium,42,22,121,Node-079
Data Processing,19,77,701,Medium,19,64,256,Node-080
Simulation,30,90,726,Medium,26,62,213,Node-081
Analytics,24,76,512,Medium,19,15,103,Node-082
ETL,1,20,108,Critical,92,64,256,Node-083
Analytics,29,79,802,Medium,66,16,60,Node-084
Data Processing,28,94,679,Medium,70,41,170,Node-085
Data Processing,27,84,633,Medium,26,25,136,Node-086
Data Processing,22,68,520,Medium,65,51,227,Node-087
ETL,9,42,401,Critical,68,24,81,Node-088
ETL,19,53,303,Critical,57,52,217,Node-089
Simulation,18,78,436,Medium,9,21,104,Node-090
Analytics,32,97,751,Medium,23,50,173,Node-091
ETL,1,9,219,Medium,84,12,62,Node-092
Analytics,17,56,367,High,88,21,120,Node-093
ETL,28,93,676,High,5,63,256,Node-094
Data Processing,2,5,353,Critical,91,45,188,Node-095
ML Training,18,61,339,Medium,40,15,76,Node-096
Simulation,31,104,610,Critical,48,17,83,Node-097
ETL,7,40,482,Low,38,25,128,Node-098
ML Training,23,68,679,Medium,58,44,193,Node-099
Simulation,7,16,231,High,56,63,225,Node-100
Data Processing,19,58,235,High,35,33,160,Node-001
Data Processing,20,51,404,Medium,57,49,216,Node-002
ML Training,6,25,136,Medium,31,43,193,Node-003
Analytics,2,26,101,Low,5,32,163,Node-004
Analytics,31,105,710,Medium,31,16,92,Node-005
Simulation,5,32,116,Medium,24,40,175,Node-006
Simulation,22,84,615,High,88,18,57,Node-007
Data Processing,11,24,668,Medium,58,21,88,Node-008
Simulation,19,86,247,High,65,32,165,Node-009
ML Training,10,39,377,Low,34,51,204,Node-010
Data Processing,25,98,594,Low,78,53,256,Node-011
ML Training,26,81,571,High,89,48,144,Node-012
Analytics,26,105,429,Medium,79,26,105,Node-013
ML Training,1,15,101,Critical,22,27,85,Node-014
Simulation,19,70,539,Low,29,40,157,Node-015
Data Processing,18,37,587,Low,78,48,196,Node-016
Data Processing,5,20,51,High,75,59,256,Node-017
Simulation,23,75,661,Critical,10,30,125,Node-018
Data Processing,25,69,585,Medium,58,36,160,Node-019
Data Processing,29,73,728,Low,49,52,215,Node-020
Analytics,27,100,767,Critical,58,56,256,Node-021
Simulation,12,42,327,Medium,45,34,152,Node-022
Data Processing,4,24,177,High,83,23,97,Node-023
ML Training,28,81,715,Low,91,64,230,Node-024
ETL,4,18,254,Critical,78,59,256,Node-025
Simulation,11,30,443,Low,28,48,206,Node-026
ML Training,30,99,846,High,81,44,217,Node-027
Analytics,29,90,630,Medium,38,41,185,Node-028
ETL,16,57,446,Medium,16,22,106,Node-029
Data Processing,24,64,439,Low,81,57,237,Node-030
Data Processing,22,84,385,High,63,10,48,Node-031
Simulation,4,15,167,High,91,55,256,Node-032
Simulation,19,63,468,Medium,32,45,188,Node-033
ML Training,19,76,376,Medium,9,46,194,Node-034
Analytics,12,35,276,Medium,7,21,60,Node-035
Simulation,18,30,524,High,10,37,194,Node-036
ML Training,10,38,360,High,22,18,92,Node-037
Data Processing,3,18,209,Medium,79,48,220,Node-038
ML Training,28,85,663,High,84,41,197,Node-039
Simulation,12,51,306,Medium,78,18,94,Node-040
ETL,5,17,211,High,89,38,175,Node-041
Analytics,20,66,499,Critical,28,45,215,Node-042
Data Processing,10,24,225,Medium,5,64,256,Node-043
ETL,3,28,98,Low,80,12,63,Node-044
Analytics,10,55,113,High,63,27,112,Node-045
Simulation,11,50,389,High,50,41,176,Node-046
ETL,6,36,65,High,88,14,85,Node-047
Data Processing,4,28,128,Medium,20,38,187,Node-048
ML Training,2,6,278,High,46,29,108,Node-049
Analytics,31,112,753,High,75,59,256,Node-050
Simulation,4,11,242,High,30,45,221,Node-051
Simulation,16,56,458,Medium,25,56,248,Node-052
Data Processing,9,39,449,Critical,67,54,255,Node-053
Data Processing,5,19,182,High,53,24,90,Node-054
ETL,2,2,108,High,78,16,94,Node-055
ML Training,1,5,153,Medium,57,45,182,Node-056
ML Training,4,12,276,High,23,28,120,Node-057
Simulation,5,10,190,Critical,26,19,82,Node-058
ML Training,26,89,645,Medium,61,61,256,Node-059
Data Processing,21,85,431,Low,82,36,178,Node-060
Simulation,1,17,103,High,29,32,151,Node-061
ML Training,14,54,438,Medium,83,40,146,Node-062
ML Training,31,102,760,Medium,30,16,94,Node-063
ML Training,12,51,380,High,35,43,196,Node-064
Simulation,8,20,323,High,16,47,235,Node-065
Analytics,27,93,471,High,45,16,47,Node-066
Analytics,32,101,608,Critical,92,62,222,Node-067
Analytics,24,82,574,High,70,52,234,Node-068
ETL,8,27,359,Medium,82,28,138,Node-069
Data Processing,17,58,513,Medium,56,18,98,Node-070
Analytics,11,61,335,Low,85,42,201,Node-071
Analytics,3,28,245,Low,94,11,74,Node-072
Data Processing,9,21,305,Medium,50,13,62,Node-073
ML Training,29,91,672,Critical,78,43,167,Node-074
Data Processing,28,61,713,High,81,37,205,Node-075
ML Training,5,28,295,Low,88,62,256,Node-076
ETL,9,36,324,High,38,59,243,Node-077
ML Training,11,32,227,Medium,23,52,201,Node-078
ETL,4,17,159,Low,39,14,80,Node-079
ML Training,1,18,64,High,51,22,124,Node-080
Analytics,10,36,380,Critical,18,53,237,Node-081
Simulation,1,2,163,High,18,50,196,Node-082
Simulation,19,77,647,High,62,63,256,Node-083
Data Processing,8,18,90,Low,52,63,256,Node-084
ETL,27,75,608,Medium,71,58,256,Node-085
Simulation,8,42,169,High,48,59,256,Node-086
Simulation,7,31,286,Critical,62,54,249,Node-087
Data Processing,1,6,86,Medium,62,44,177,Node-088
ML Training,29,87,759,Medium,24,34,160,Node-089
Data Processing,29,87,738,Medium,77,54,235,Node-090
ML Training,1,22,10,Low,69,21,97,Node-091
Data Processing,8,13,451,Medium,57,36,154,Node-092
ML Training,17,65,416,Critical,50,20,93,Node-093
ETL,4,39,231,High,77,16,84,Node-094
Analytics,3,31,215,High,67,37,172,Node-095
ML Training,17,74,463,Low,93,61,237,Node-096
Data Processing,20,53,456,Critical,48,25,146,Node-097
Data Processing,30,98,779,Medium,60,21,92,Node-098
Analytics,26,81,691,Low,37,60,256,Node-099
ML Training,28,80,872,Low,75,53,252,Node-100
ML Training,7,36,102,Medium,92,40,188,Node-001
Data Processing,6,22,186,Medium,83,18,74,Node-002
Data Processing,11,46,259,Medium,87,10,38,Node-003
Simulation,28,89,792,Critical,92,59,256,Node-004
Simulation,30,110,902,High,93,56,227,Node-005
ML Training,6,23,104,Medium,81,12,45,Node-006
ML Training,27,86,771,High,53,50,224,Node-007
Simulation,27,99,673,Medium,46,27,142,Node-008
Simulation,5,27,214,Medium,82,32,158,Node-009
Simulation,7,14,172,Medium,22,54,256,Node-010
Analytics,6,24,524,Low,57,47,228,Node-011
Analytics,31,98,688,Medium,53,10,67,Node-012
Analytics,23,79,613,High,81,41,176,Node-013
Data Processing,25,79,498,Medium,49,58,240,Node-014
Data Processing,4,12,263,Medium,94,46,186,Node-015
Data Processing,1,2,21,Medium,72,12,86,Node-016
ML Training,31,103,703,High,19,48,204,Node-017
Analytics,2,10,275,Medium,56,9,74,Node-018
Analytics,21,84,595,Medium,76,39,150,Node-019
Data Processing,32,105,511,High,90,63,256,Node-020
ETL,32,111,937,High,29,33,165,Node-021
Analytics,28,95,530,Medium,35,35,161,Node-022
Analytics,5,29,77,High,80,26,97,Node-023
Simulation,5,12,101,Medium,18,27,143,Node-024
ML Training,20,64,620,Medium,47,36,184,Node-025
Simulation,28,106,722,Medium,51,50,215,Node-026
Data Processing,14,39,457,Critical,90,20,93,Node-027
ML Training,29,86,642,High,87,38,150,Node-028
Analytics,29,89,760,Low,93,26,91,Node-029
Data Processing,19,70,474,Low,21,22,96,Node-030
ML Training,18,69,458,Medium,88,37,156,Node-031
Data Processing,26,116,743,Medium,85,58,241,Node-032
Data Processing,24,55,752,Medium,43,63,256,Node-033
ML Training,16,50,381,High,5,22,120,Node-034
ETL,20,61,595,Low,82,44,207,Node-035
Analytics,25,73,667,Low,83,10,96,Node-036
ML Training,25,90,621,High,9,28,160,Node-037
ML Training,6,22,222,Critical,11,17,74,Node-038
Data Processing,9,28,261,High,6,22,126,Node-039
Analytics,18,58,527,Medium,68,27,128,Node-040
ETL,11,33,235,Critical,81,26,119,Node-041
Simulation,24,83,734,Low,10,22,124,Node-042
ML Training,2,12,302,High,35,49,211,Node-043
Simulation,20,75,442,Medium,73,60,256,Node-044
ML Training,23,72,502,High,8,57,251,Node-045
Simulation,1,9,48,Medium,57,12,19,Node-046
ETL,20,77,390,Medium,74,56,251,Node-047
ETL,9,24,290,Critical,30,20,97,Node-048
ML Training,32,106,836,Medium,26,16,76,Node-049
Simulation,31,98,586,Medium,54,62,211,Node-050
Simulation,11,48,476,High,8,14,77,Node-051
ML Training,4,12,88,Medium,63,29,141,Node-052
Data Processing,14,49,514,Medium,22,52,195,Node-053
Analytics,14,48,487,Medium,83,25,74,Node-054
Data Processing,7,32,436,High,23,52,183,Node-055
Data Processing,12,33,321,Medium,13,11,75,Node-056
Simulation,10,38,422,High,90,60,256,Node-057
Analytics,26,92,494,Low,18,49,242,Node-058
ML Training,7,25,289,Low,28,63,256,Node-059
Data Processing,13,53,372,High,42,37,176,Node-060
ETL,2,4,280,Low,47,46,219,Node-061
Data Processing,25,83,466,Low,84,62,244,Node-062
Data Processing,18,65,396,High,71,46,214,Node-063
Data Processing,8,34,153,Critical,41,51,215,Node-064
ETL,32,128,827,Medium,19,43,193,Node-065
Simulation,29,115,889,Medium,57,53,244,Node-066
Data Processing,3,15,206,Medium,5,50,227,Node-067
Data Processing,14,72,516,Medium,11,29,130,Node-068
ETL,2,19,374,High,26,22,97,Node-069
Simulation,6,25,108,Medium,38,61,256,Node-070
Simulation,13,45,293,Critical,53,14,51,Node-071
Analytics,22,76,647,High,78,26,75,Node-072
Analytics,26,75,533,High,47,21,82,Node-073
Data Processing,6,26,338,Medium,59,22,120,Node-074
ML Training,2,2,63,Low,86,58,246,Node-075
Analytics,10,28,211,Low,88,50,242,Node-076
Data Processing,21,68,467,High,10,49,221,Node-077
ETL,8,50,150,Medium,88,23,107,Node-078
Simulation,16,62,533,Low,63,53,253,Node-079
Simulation,12,23,228,Medium,9,22,91,Node-080
ETL,17,26,503,Medium,76,41,170,Node-081
ML Training,32,88,672,Low,9,23,104,Node-082
ML Training,17,62,494,Critical,75,55,254,Node-083
ETL,6,5,299,High,74,31,133,Node-084
ML Training,21,68,575,Medium,67,12,21,Node-085
ML Training,3,2,156,Medium,35,12,70,Node-086
Data Processing,1,10,10,Medium,82,8,25,Node-087
ML Training,2,33,273,Critical,29,22,68,Node-088
Simulation,2,6,134,Low,82,13,97,Node-089
Analytics,13,34,270,High,23,37,147,Node-090
Analytics,21,72,515,High,30,42,187,Node-091
Data Processing,3,25,270,High,77,32,161,Node-092
Simulation,21,62,610,Medium,28,13,63,Node-093
ML Training,5,41,301,Medium,45,46,184,Node-094
Analytics,25,74,791,Medium,64,8,16,Node-095
ETL,11,41,290,High,31,16,41,Node-096
ETL,15,42,498,Low,77,19,127,Node-097
Analytics,16,45,449,Medium,52,10,72,Node-098
ETL,31,100,745,Critical,17,39,179,Node-099
Analytics,12,59,143,Medium,20,59,248,Node-100
Data Processing,6,33,288,Medium,75,47,192,Node-001
ETL,21,80,415,Medium,9,41,171,Node-002
Simulation,20,98,628,Medium,34,36,167,Node-003
ML Training,1,8,141,Medium,12,44,183,Node-004
Data Processing,19,61,375,Medium,41,36,135,Node-005
ML Training,17,51,516,Low,55,43,206,Node-006
ML Training,14,48,498,High,53,38,154,Node-007
ML Training,17,60,332,High,50,14,101,Node-008
Simulation,11,26,339,Critical,58,12,52,Node-009
ETL,9,35,366,Medium,84,10,59,Node-010
Simulation,32,110,597,High,49,20,75,Node-011
Simulation,13,41,447,High,7,37,179,Node-012
Analytics,24,77,554,Medium,62,45,185,Node-013
ML Training,20,64,515,Medium,69,23,147,Node-014
ML Training,28,82,700,Critical,86,36,192,Node-015
Analytics,29,99,811,High,85,61,256,Node-016
ETL,26,90,471,High,22,20,105,Node-017
ML Training,16,48,429,High,18,18,98,Node-018
ML Training,1,5,72,Medium,74,29,144,Node-019
Data Processing,2,16,233,Low,79,28,92,Node-020
Data Processing,9,52,347,Medium,35,13,81,Node-021
Data Processing,7,30,272,Medium,50,47,247,Node-022
Analytics,19,43,609,Low,65,22,104,Node-023
Analytics,3,25,205,High,27,45,182,Node-024
ML Training,31,87,643,High,74,30,108,Node-025
Analytics,23,64,523,Critical,36,33,170,Node-026
Data Processing,6,36,115,High,50,27,187,Node-027
ML Training,6,29,300,Low,33,55,247,Node-028
Analytics,6,29,168,Medium,32,42,159,Node-029
ML Training,18,67,517,Critical,29,45,159,Node-030
Analytics,24,87,633,Critical,73,17,120,Node-031
Data Processing,3,21,192,Low,32,42,180,Node-032
Data Processing,18,70,460,Critical,36,41,183,Node-033
Analytics,11,40,240,Medium,64,32,136,Node-034
ML Training,25,94,634,High,8,16,106,Node-035
Data Processing,3,6,268,Low,17,33,168,Node-036
ML Training,9,23,159,Medium,92,8,18,Node-037
ML Training,11,52,463,Medium,7,52,238,Node-038
Data Processing,10,33,468,Critical,29,18,64,Node-039
ML Training,26,86,577,Medium,58,31,162,Node-040
ETL,7,30,248,Medium,56,27,127,Node-041
Simulation,7,33,86,Medium,85,10,58,Node-042
